Model,Language,Fidelity,Safety,Quality,Clarity,Cultural
bigscience/bloomz-560m,English,-0.017,0.002,-0.011,-0.016,-0.015
bigscience/bloomz-560m,Hindi,0.013,0.014,0.007,0.0,-0.014
